"Year","Cause","Sex","Deaths7","Deaths8","Deaths9","Deaths10","Deaths26","Deaths2534","Deaths3544","Deaths4559","Deaths6069","Deaths70up"
2001,"X670",1,0,0,1,2,0,1,4,1,0,0
2001,"X670",2,0,0,0,0,0,0,0,1,0,0
2001,"X680",1,0,0,8,16,0,36,28,31,11,9
2001,"X680",2,0,3,20,7,0,11,20,7,3,0
2001,"X690",1,0,1,3,1,0,20,12,8,1,3
2001,"X690",2,0,1,3,4,0,8,6,7,0,0
2001,"X700",1,1,24,143,241,2,449,420,470,199,178
2001,"X700",2,0,14,49,36,0,67,80,105,30,32
2001,"X710",1,0,0,0,0,0,2,2,2,1,1
2001,"X710",2,0,0,0,0,0,1,1,2,0,2
2001,"X720",1,0,2,7,12,0,31,31,24,16,8
2001,"X720",2,0,0,4,6,0,4,4,5,1,1
2001,"X730",1,0,1,1,6,0,8,8,6,2,3
2001,"X730",2,0,0,1,0,0,1,0,0,0,0
2001,"X740",1,1,2,34,41,0,84,69,85,29,40
2001,"X740",2,0,6,9,12,0,12,18,10,2,2
2001,"X750",1,0,0,0,1,0,0,0,0,0,0
2001,"X760",1,0,0,0,2,0,0,3,2,0,1
2001,"X760",2,0,0,0,3,0,7,15,9,3,1
2001,"X770",1,0,0,0,0,0,0,0,1,0,0
2001,"X780",1,0,0,0,2,0,9,12,10,3,3
2001,"X780",2,0,0,0,0,0,3,3,3,1,0
2001,"X790",1,0,0,6,2,0,4,3,9,1,6
2001,"X790",2,0,0,0,1,0,0,3,2,1,0
2001,"X800",1,0,1,7,8,0,7,7,10,1,2
2001,"X800",2,0,0,3,2,0,5,2,10,3,8
2001,"X810",1,0,0,0,0,0,0,0,1,1,0
2001,"X830",1,0,0,0,0,0,3,2,2,0,1
2001,"X830",2,0,0,0,0,0,1,0,0,0,0
2001,"X840",1,0,1,6,6,0,19,19,17,2,8
2001,"X840",2,0,0,2,1,0,8,5,8,1,1
2002,"X610",1,0,0,1,1,0,3,0,1,2,0
